"customer_id","customer_name","birth_year","birth_month","gender","address","address_2","city","state_abv","zip_code","per_capita_income_for_zip_code","customer_annual_income"
23,"Yadiel Miller",1943,6,"Male","9186 Washington Avenue",NULL,"Cleveland","OH","44134",19524,41109
24,"Roland King",1949,4,"Male","5073 Wessex Avenue",NULL,"Tyronza","AR","72386",14172,26858
25,"Cole Xi",1975,1,"Male","195 Eighth Boulevard",NULL,"Central Point","OR","97502",17131,34929
26,"Jade Green",1983,8,"Female","801 Mill Boulevard",NULL,"Mesa","AZ","85201",16829,34317
27,"Amaya Stewart",1979,4,"Female","6914 Wessex Avenue","7043","Houston","TX","77061",15389,31377
28,"Grant Gray",1982,9,"Male","776 Norfolk Boulevard",NULL,"Van Nuys","CA","91411",21402,43638
29,"Oliver Reed",1978,11,"Male","2015 Bayview Avenue","8","Cookeville","TN","38501",15955,32531
30,"Aminah Collins",1983,2,"Female","108 Washington Street","65","Whites Creek","TN","37189",20657,42120
31,"Ulises Neufelder",2001,5,"Male","660 Seventh Drive","6","Columbus","OH","43230",28092,57281
32,"Tristan Hughes",1970,9,"Male","7505 Tenth Boulevard",NULL,"Miami","FL","33175",18828,38390
33,"Madalynn Gutierrez",1986,9,"Female","4930 Birch Drive",NULL,"Southport","NC","28461",17498,35670
34,"Rosa Faraday",1998,9,"Female","93 Plum Lane",NULL,"Old Saybrook","CT","6475",30281,61746
35,"Brynn Allen",1972,11,"Female","837 Lincoln Avenue",NULL,"Mobile","AL","36693",21331,43496
36,"Aden Adams",1978,8,"Male","7467 Spruce Drive",NULL,"Sacramento","CA","95829",25431,51854
37,"Haylee Baker",1968,4,"Female","6323 Sussex Boulevard",NULL,"Chula Vista","CA","91911",16942,34540
38,"Nehemiah Turner",1973,11,"Male","8738 Fourth Street",NULL,"Hanover Park","IL","60133",20248,41287
39,"Simon Adams",1973,10,"Male","9344 Mill Drive",NULL,"Seaside","CA","93955",18663,38054
40,"Sunny King",1961,2,"Female","299 11th Street",NULL,"Northborough","MA","1532",39418,80371
41,"Harper Jackson",1929,2,"Female","5492 Maple Drive","2","Overland Park","KS","66221",51642,84694
42,"Thomas Burns",1941,2,"Male","829 Birch Boulevard","81","Corpus Christi","TX","78410",23608,37503
43,"Titan Flores",1962,12,"Male","41011 Seventh Boulevard",NULL,"Chandler","AZ","85226",32056,65357
44,"Leslie Myers",1994,1,"Female","613 Little Creek Lane","848","Immokalee","FL","34142",10819,22066
45,"Joaquin Parker",1977,11,"Male","1942 Rose Avenue",NULL,"Port Orange","FL","32128",21916,44681
46,"Butch Brooks",1994,2,"Male","5101 Birch Lane",NULL,"Maryland Heights","MO","63043",25163,51306
47,"Kiera Allen",2002,2,"Female","7 11th Drive",NULL,"San Antonio","TX","78210",12677,25847
48,"Lylah Peres",1959,11,"Female","2468 Spruce Drive","78","Longwood","FL","32750",22896,46683
49,"Ty Jackson",1958,11,"Male","8001 Essex Boulevard",NULL,"Milwaukee","WI","53210",15487,31579
50,"Bodhi Nguyen",1972,10,"Male","708 George Street",NULL,"Camilla","GA","31730",13759,28055
51,"Chaya Howard",1977,12,"Female","28 Hillside Boulevard","4","Canton","MI","48188",32078,65403
52,"Kyleigh Rogers",1964,11,"Female","446 Birch Drive",NULL,"La Follette","TN","37766",13522,27572
53,"Mikaela Martin",1971,12,"Female","578 Maple Avenue",NULL,"Inman","SC","29349",18899,38539
54,"Luella Perry",1978,7,"Female","14 Valley Drive",NULL,"Poca","WV","25159",18666,38059
55,"Lainey Gutierrez",1960,11,"Female","2475 Little Creek Boulevard",NULL,"Leander","TX","78641",25872,52754
56,"Marvin Anwar",1975,2,"Male","9604 Catherine Drive",NULL,"Rego Park","NY","11374",25109,51196
57,"Holden Taylor",1993,7,"Male","349 First Drive",NULL,"Atlanta","GA","30318",24382,49713
58,"Aiyana Abe",1998,4,"Female","7914 Essex Boulevard","46","Toledo","OH","43623",21660,44160
59,"Milani Merkel",1973,5,"Female","524 Ocean Drive","87","Houston","TX","77056",95039,193773
60,"Princess Cooper",1979,2,"Female","2079 Maple Drive",NULL,"Mount Union","PA","17066",14650,29864
61,"Wyatt Davis",1997,7,"Male","295 Valley Drive",NULL,"San Antonio","TX","78232",28135,57367
62,"Nathalie Faraday",1957,2,"Female","2883 Ocean View Boulevard","1","Black Diamond","WA","98010",32697,56635
63,"Erik Chen",1975,3,"Male","5125 Elm Drive",NULL,"Ogden","UT","84414",23165,47227
64,"Gatlin Morris",1997,10,"Male","4098 Park Drive","8","Fort Worth","TX","76115",12051,24574
65,"Eloise Bennett",1991,1,"Female","892 Spruce Street",NULL,"Saint Albans","NY","11412",21283,43397
66,"Leighton Wood",1991,6,"Female","9977 Oak Avenue",NULL,"Oxford","MD","21654",28497,58105
67,"Layne Butler",1937,6,"Male","79 South Boulevard",NULL,"Gonzales","TX","78629",15092,10869
68,"Janiyah Foster",1929,6,"Female","145 River Drive",NULL,"Allentown","PA","18102",12427,19893
69,"Jagger Braun",1956,8,"Male","7605 Essex Boulevard",NULL,"Mount Vernon","OH","43050",18019,36743
70,"Brianna Powell",1970,7,"Female","480 Seventh Lane","1","Trenton","NJ","8610",22747,46377
71,"Elle Clark",1983,10,"Female","5506 Fifth Boulevard","8012","Gardena","CA","90248",24611,50179
72,"Nathan Merkel",1989,11,"Male","136 Spruce Street",NULL,"Petaluma","CA","94955",26748,54537
73,"Kristopher Nelson",1996,12,"Male","306 First Drive","62","Apopka","FL","32712",24155,49255
74,"Asher Ortiz",1977,10,"Male","272 Burns Boulevard",NULL,"Summit Argo","IL","60501",15221,31031
75,"Tristian Walker",1955,1,"Male","190 Sixth Drive",NULL,"Rockwall","TX","75032",34659,70673
76,"Emily Parker",1932,10,"Female","8569 Wessex Boulevard",NULL,"Birmingham","AL","35211",13263,16342
77,"Dangelo Ortiz",1997,9,"Male","385 Lexington Boulevard","4","Seminole","TX","79360",15183,30961
78,"Ariana Cook",1961,3,"Female","407 Park Lane",NULL,"Islandton","SC","29929",14864,30305
79,"Santana Myers",1989,3,"Male","5142 Little Creek Street",NULL,"Edmond","OK","73034",33736,68784
80,"Faye Walker",1994,8,"Female","224 Mountain View Boulevard",NULL,"Kalispell","MT","59901",17040,34745
81,"Rebecca Gonzalez",2001,11,"Female","4735 Fifth Avenue","1","Baton Rouge","LA","70808",31741,64715
82,"Nadia Perry",1961,2,"Female","4793 North Street","17","Mars","PA","16046",39464,80464
83,"Lizbeth Baker",2002,2,"Female","72 El Camino Boulevard",NULL,"Pittsburgh","PA","15220",24400,49748
84,"Bryan Fox",1958,11,"Male","381 Fifth Lane","6","Ontario","CA","91764",16113,41904
85,"Juliette Howard",1965,9,"Female","393 Mountain View Lane",NULL,"Newport Coast","CA","92657",96516,196784
86,"Bella Kelley",1992,3,"Female","293 Wessex Street","2","Northville","MI","48168",49458,100837
87,"Jordy Bailey",1987,6,"Male","7276 Fourth Drive",NULL,"Fenton","MI","48430",25334,51654
88,"Amelia Fernandez",1955,6,"Female","327 Lafayette Boulevard","457","Lancaster","OH","43130",18680,38088
89,"Bjorn Schmidt",2001,8,"Male","2846 Lake Avenue",NULL,"Welsh","LA","70591",18082,36866
90,"Skylar James",1967,9,"Male","2093 Ocean Street",NULL,"Oakland","CA","94606",18443,37607
91,"Mae Farhad",1970,10,"Female","981 Fifth Boulevard",NULL,"Fort Morgan","CO","80701",16910,34480
92,"Nikolai Cruz",1977,1,"Male","18 Norfolk Boulevard",NULL,"Madison","WI","53716",23680,48279
93,"Jared Hill",1983,7,"Male","977 Littlewood Avenue",NULL,"Panama City","FL","32401",16133,32896
94,"Jeremias Russell",2001,6,"Male","993 Mountain View Avenue",NULL,"Perris","CA","92570",14667,29909
95,"Aubrielle Roman",1982,12,"Female","896 Rose Street",NULL,"Minneapolis","MN","55433",23278,47464
96,"Carla James",1996,5,"Female","2418 Mill Drive","3999","San Jose","CA","95129",41750,85128
97,"Kase Nguyen",1965,9,"Male","3683 Fifth Street","7760","Mount Holly","NC","28120",22487,45852
98,"Annalee Sanders",1986,7,"Female","0 Elm Street",NULL,"Glendale","AZ","85301",13024,26556
99,"Journee Collins",1956,11,"Female","2302 Catherine Lane",NULL,"Hollywood","FL","33024",19712,40194
100,"Trent Davis",1998,2,"Male","213 Rose Drive",NULL,"Irving","TX","75038",30475,62135
101,"Zavier Phillips",1972,1,"Male","8975 Littlewood Boulevard",NULL,"Cape Coral","FL","33914",19274,39303
102,"Ivory Peres",1956,3,"Female","1389 Park Lane",NULL,"Waldorf","MD","20603",35114,71593
103,"Ace Bailey",1944,12,"Male","2890 Eighth Lane",NULL,"Maywood","IL","60153",15451,22158
104,"Agustin Reyes",1957,6,"Male","20 Littlewood Boulevard","5","Howard Beach","NY","11414",26481,53996
105,"Hannah Chen",1991,10,"Female","6413 Second Street",NULL,"Pensacola","FL","32505",12766,26025
106,"Zahra Williams",1994,11,"Female","611 Elm Lane",NULL,"Yonkers","NY","10710",31299,63816
107,"Estelle Richardson",1964,1,"Female","889 Martin Luther King Avenue",NULL,"Apex","NC","27502",32485,66230
108,"Lochlan Morris",1963,10,"Male","336 Rose Avenue",NULL,"Chicago","IL","60616",25365,36335
109,"Simone Carter",1961,2,"Female","4254 Plum Lane",NULL,"Westminster","CA","92683",19438,39633
110,"Zariah Mitchell",1976,8,"Female","825 Sussex Avenue",NULL,"Dyer","IN","46311",28048,57185
111,"Samuel Fu",1982,11,"Male","185 Forest Drive",NULL,"Marietta","GA","30068",40530,82637
112,"Virginia Gutierrez",1960,1,"Female","561 Martin Luther King Avenue",NULL,"Novi","MI","48375",34259,31121
113,"Isaias Robinson",1972,11,"Male","335 Valley Stream Boulevard",NULL,"Gonzales","TX","78629",15092,30774
114,"Eduardo Wood",1971,12,"Male","1773 Hill Street",NULL,"Shelbyville","IL","62565",16300,33236
115,"Parker Howard",1984,10,"Male","55 Ocean View Street",NULL,"Amarillo","TX","79110",18613,37947
116,"Kendrick Brooks",1995,11,"Male","8245 El Camino Lane","5","Wichita","KS","67207",21518,43875
117,"Maci Diaz",1993,5,"Female","9530 Washington Street",NULL,"Novato","CA","94947",30335,61850
118,"Matias Farhad",1991,5,"Male","221 Lexington Avenue",NULL,"Savannah","GA","31420",19770,40314
119,"Silas Ward",1993,8,"Male","2484 Norfolk Drive","1","Milford","DE","19963",18622,37968
120,"Roland Gonzalez",1978,11,"Male","133 Grant Lane",NULL,"Fremont","MI","49412",17145,34954
121,"Yehuda Jones",1979,9,"Male","1977 Lake Avenue",NULL,"Woodland Hills","CA","91364",47055,95945
122,"Kaelyn Anwar",2002,2,"Female","352 George Street","6","Fort Gratiot","MI","48059",16598,33844
123,"Justice Ortiz",1953,4,"Male","554 Grant Boulevard",NULL,"Andover","KS","67002",32162,65573
124,"Messiah Bell",1979,7,"Male","631 Ocean View Street","2","Madison","WI","53704",23840,48609
125,"Keira Wright",1974,5,"Female","31 Jefferson Boulevard",NULL,"Fernwood","ID","83830",12618,25723
126,"Caylee Gutierrez",2000,3,"Female","973 Federal Avenue",NULL,"Daphne","AL","36526",25495,51984
127,"Angel Hill",1986,2,"Male","95266 Bayview Drive",NULL,"Oakland","CA","94611",52813,107683
128,"Bridget Faraday",1996,2,"Female","932 Essex Street","6","Perris","CA","92571",16109,32847
129,"Sebastian Lee",1963,1,"Male","126 Valley Drive",NULL,"Jackson","MS","39213",11061,22556
130,"Lizbeth Garcia",1984,9,"Female","239 South Drive",NULL,"Aberdeen","MD","21001",22590,46063
131,"Ximena Davis",2000,9,"Female","1134 Valley Drive","2623","Farmington","CT","6032",46762,95348
132,"Haley Braun",1992,1,"Female","5863 Grant Avenue",NULL,"Wellsville","KS","66092",22158,45180
133,"Kalel Hughes",1982,4,"Male","3472 11th Avenue","5","Orlando","FL","32822",15137,30865
134,"Korbin Roman",1999,11,"Male","5590 Bayview Avenue","200","Avoca","MI","48006",20377,41543
135,"Kenny Gray",1966,9,"Male","94 Jefferson Drive","8211","Tyler","TX","75706",14811,30198
136,"Adilynn Wood",1974,12,"Female","582 Birch Boulevard",NULL,"Fort Myers","FL","33901",19621,40006
137,"Kace Chen",1966,5,"Male","809 Mountain View Boulevard",NULL,"Olathe","KS","66062",30232,61646
138,"Abril Cook",1980,10,"Female","6339 Fourth Street",NULL,"Reisterstown","MD","21136",33175,67643
139,"Ivy Gutierrez",1933,5,"Female","81 Hill Avenue","66","Detroit","MI","48235",13820,22650
140,"Garrett Macron",1956,10,"Male","28136 Wessex Street",NULL,"Brooklyn","NY","11212",14856,30288
141,"Nolan Sadr",1952,10,"Male","8787 Rose Avenue",NULL,"San Francisco","CA","94112",22549,47213
142,"Marianna Gutierrez",1943,10,"Female","96 Ninth Lane",NULL,"Konawa","OK","74849",15005,28215
143,"Stetson Thomas",1987,4,"Male","3249 12th Drive",NULL,"Woodinville","WA","98077",51751,105515
144,"Vicente Martinez",1983,12,"Male","9340 Valley Street","20","Bradenton","FL","34207",13972,28489
145,"Amayah Thomas",1956,9,"Female","6429 Fifth Avenue","42","Charlotte","NC","28226",39752,81048
146,"Zelda Ward",2000,12,"Female","849 George Avenue",NULL,"Easton","MD","21601",23180,47263
147,"Drake Howard",2000,7,"Male","804 Seventh Boulevard",NULL,"Redding","CA","96002",16585,33816
148,"Danielle Carter",1994,9,"Female","76009 Valley Stream Boulevard",NULL,"Waukegan","IL","60085",15770,32160
149,"Kora Bailey",1936,8,"Female","387 Third Boulevard",NULL,"Rio Rico","AZ","85648",15462,29494
150,"Emery Mitchell",1951,3,"Female","6398 Lake Lane",NULL,"Franklin","TN","37067",36563,70554
151,"Zayn Nguyen",1956,9,"Male","786 12th Drive","10","Wheeling","IL","60090",23098,33686
152,"Myah Gray",1927,8,"Female","290 Forest Street",NULL,"Tucson","AZ","85749",30818,57732
153,"Cash Watson",1998,3,"Male","320 Hillside Lane",NULL,"Memphis","TN","38106",10730,21879
154,"Benson Xi",1991,5,"Male","437 Ocean View Drive",NULL,"State College","PA","16801",25031,51041
155,"Bjorn Perez",2002,1,"Male","9850 Birch Drive",NULL,"West Roxbury","MA","2132",34519,70380
156,"Edward Abe",1994,8,"Male","55 Third Drive",NULL,"Elmwood Park","IL","60707",20902,42617
157,"Shepard Lopez",1944,7,"Male","177 Mill Boulevard",NULL,"Manahawkin","NJ","8050",21861,46031
158,"Estrella Sullivan",1964,10,"Female","886 Little Creek Drive",NULL,"Delmar","NY","12054",31927,65094
159,"Jane Brooks",1993,2,"Female","327 Seventh Boulevard",NULL,"Lexington","KY","40517",18278,37268
160,"Zaria Brooks",1967,2,"Female","8224 Fourth Drive",NULL,"Waterbury","CT","6705",19114,38972
161,"Elsa Gonzalez",1957,2,"Female","174 Catherine Boulevard","948","Compton","CA","90222",13075,26661
162,"Atticus Abe",1971,9,"Male","496 Hill Lane",NULL,"Minneapolis","MN","55419",40364,82295
163,"Alfonso Gao",1972,9,"Male","23068 Park Street","2","Lansing","NC","28643",12630,25748
164,"Ronin White",1963,11,"Male","27019 Madison Lane",NULL,"Bean Station","TN","37708",13668,27861
165,"Gannon Baker",2001,12,"Male","293 First Boulevard",NULL,"Redlands","CA","92374",23820,48561
166,"Nicole Gomez",1953,4,"Female","8929 Essex Drive",NULL,"Bloomington","IN","47403",19125,38999
167,"Korbin Long",1957,4,"Male","1569 George Boulevard",NULL,"Bailey","NC","27807",16239,33112
168,"Melina Wright",1985,10,"Female","326 Elm Lane","5","Charlotte","NC","28211",49477,100880
169,"Briar Smith",1997,11,"Male","32 Valley Drive",NULL,"Oxnard","CA","93031",18175,37058
170,"Yahya Anderson",1995,3,"Male","4132 Norfolk Boulevard","3","Hyattsville","MD","20785",23166,47234
171,"Florence Masvidal",1974,5,"Female","819 El Camino Boulevard",NULL,"Cushing","OK","74023",17237,35142
172,"Danna Torres",1976,3,"Female","742 Lake Street",NULL,"Coos Bay","OR","97420",15069,30721
173,"Paityn King",1963,12,"Female","607 George Boulevard",NULL,"Acworth","GA","30101",28862,58846
174,"Layne Green",1990,6,"Male","704 Eighth Avenue",NULL,"Waterville","NY","13480",19161,39069
175,"Sasha Gao",2000,2,"Female","8643 Lafayette Boulevard",NULL,"Lawrenceville","GA","30043",24252,49449
176,"Yamileth Mitchell",1980,3,"Female","63 Plum Street",NULL,"Stearns","KY","42647",10942,22312
177,"Mateo Robinson",1987,4,"Male","5381 12th Boulevard","6","Miami","OK","74355",17845,36388
178,"Izabella Phillips",1967,8,"Female","65 Fifth Boulevard",NULL,"Saint Cloud","FL","34771",22086,45037
179,"Samantha Gonzalez",1972,10,"Female","2614 Eighth Lane",NULL,"Waupaca","WI","54981",18937,38615
180,"Bentlee Garcia",1979,7,"Male","196 Plum Lane",NULL,"Bronx","NY","10458",13845,28229
181,"Sarah Clark",1961,11,"Female","444 Maple Avenue","990","Noblesville","IN","46060",24638,50232
182,"Judah Jones",1960,5,"Male","868 Maple Drive",NULL,"Greenville","KY","42345",16847,34350
183,"Bentley Lopez",1972,11,"Male","6009 River Avenue",NULL,"Canton","GA","30114",25654,52308
184,"Juliet Hughes",1992,8,"Female","2058 Spruce Street",NULL,"Saint Petersburg","FL","33709",15724,32061
185,"Javon Long",1945,2,"Male","6930 East Lane",NULL,"Tooele","UT","84074",21749,21154
186,"Allie Sullivan",1967,10,"Female","31204 El Camino Lane",NULL,"Austin","TX","78728",25594,52186
187,"Kassidy Morgan",1976,5,"Female","967 First Avenue","4","Pierceton","IN","46562",17294,35264
188,"Evelynn Diaz",1935,9,"Female","136 Hillside Avenue",NULL,"Walnut Creek","CA","94598",42234,79870
189,"Hayden Myers",1949,12,"Female","669 South Street",NULL,"Barnstable","MA","2630",26762,41902
190,"Laura Cook",1995,8,"Female","66992 Second Street",NULL,"Las Vegas","NV","89131",31374,63969
191,"Khalil Morgan",1972,7,"Male","208 Park Avenue",NULL,"Lyndonville","VT","5851",16976,34606
192,"Moshe Gutierrez",1987,11,"Male","335 Main Street",NULL,"Atlanta","GA","30310",13059,26631
193,"Pratik Thomas",1980,11,"Male","532 12th Drive","3","Palm Bay","FL","32907",17645,35978
194,"Myles Robinson",1955,10,"Male","1350 Lake Drive","5415","Van Alstyne","TX","75495",24402,49756
195,"Martin Reed",1982,6,"Male","691 First Lane","2","Nashville","TN","37221",29868,60897
196,"Elora Schmidt",1961,3,"Female","511 Grant Avenue","266","Dawsonville","GA","30534",20581,41963
197,"Violet Robinson",1982,7,"Female","3510 Mountain View Street",NULL,"Minneapolis","MN","55432",22059,44976
198,"Phoenix Long",1992,9,"Male","9264 Lake Avenue",NULL,"Grand Prairie","TX","75052",22922,46733
199,"Sue Powell",1993,4,"Female","596 Mountain View Lane",NULL,"Centerville","MA","2632",23129,47160
200,"Tatum Reyes",1996,7,"Male","374 East Lane","9032","West Lafayette","IN","47906",24737,50433
201,"Brennan Diaz",1999,8,"Male","51 George Avenue",NULL,"Federal Way","WA","98023",25363,51713
202,"Emanuel Rivera",1974,8,"Male","3916 Tenth Boulevard","9","Fort Worth","TX","76106",11876,24215
203,"Gianni Kelly",1970,9,"Male","813 Fifth Boulevard",NULL,"Caledonia","OH","43314",18293,37298
204,"Kane Harris",1994,12,"Male","8931 Norfolk Drive",NULL,"Mesa","AZ","85203",19844,40457
205,"Willie Nguyen",1961,6,"Male","8996 Third Street",NULL,"Arlington","MA","2476",40694,82974
206,"Evalyn Rogers",1973,7,"Female","33 Tenth Street",NULL,"Huntington Station","NY","11746",34873,71103
207,"Jaycee James",1976,5,"Female","5528 Lake Lane",NULL,"Muse","PA","15350",14320,29194
208,"Killian Thompson",1967,10,"Male","8824 Hillside Avenue",NULL,"Hendersonville","NC","28739",16410,33465
209,"Alayna Carter",1999,6,"Female","69 Norfolk Avenue",NULL,"Warren","OH","44483",15361,31314
210,"Maximilian Kelly",1983,7,"Male","57 Pine Boulevard",NULL,"Tulsa","OK","74110",11633,23718
211,"Cecilia Thompson",1973,6,"Female","9528 Hill Street","861","Arnold","MD","21012",35645,72670
212,"Harley Wright",1995,4,"Female","8251 Park Lane",NULL,"Dublin","OH","43016",38243,77972
213,"Jamie Merkel",1981,10,"Female","177 Maple Boulevard",NULL,"Van Buren","AR","72956",17093,34854
214,"Lauren Parker",1994,12,"Female","299 Oak Boulevard",NULL,"Mcminnville","OR","97128",18098,36902
215,"Eva Roman",1991,12,"Female","7087 Plum Street",NULL,"Saint Petersburg","FL","33706",26476,53984
216,"Koa Barnes",1939,3,"Male","614 Spruce Avenue",NULL,"Whitehouse Station","NJ","8889",46827,104692
217,"Raven Hall",1995,5,"Female","625 Washington Lane",NULL,"Kirkland","WA","98033",49629,101191
218,"Roberto Peres",1981,10,"Male","311 Fifth Drive",NULL,"Ann Arbor","MI","48103",34119,69566
219,"London Reyes",1998,4,"Male","966 Sussex Boulevard",NULL,"Villa Park","IL","60181",24223,49382
220,"Julianna Clark",1979,1,"Female","9059 Eighth Avenue",NULL,"Bakersville","NC","28705",14093,28733
221,"Makai Ward",1932,8,"Male","4713 First Boulevard",NULL,"Columbia City","IN","46725",19914,30349
222,"Jayden Diaz",1988,3,"Male","4165 Valley Avenue",NULL,"Glen Carbon","IL","62034",28710,58538
223,"Hazel Collins",1987,8,"Female","38 Catherine Boulevard","5","Saint Petersburg","FL","33705",18100,36901
224,"Deacon Bell",1950,1,"Male","3485 Federal Avenue",NULL,"Cochranville","PA","19330",24725,49531
225,"Rafael Cruz",1951,8,"Male","198 Main Boulevard","46","Chicago","IL","60653",20649,35370
226,"Ruby Farhad",1975,1,"Female","891 Fourth Avenue",NULL,"Wooster","OH","44691",18962,38666
227,"Jewel Baker",1995,12,"Female","8094 Catherine Lane",NULL,"Lowell","MA","1851",20458,41714
228,"Jason Moore",1987,8,"Male","41 Plum Boulevard","8942","Lottsburg","VA","22511",12018,24505
229,"Pierce Cooper",1977,1,"Male","2974 Grant Avenue","49","Valley Stream","NY","11580",27778,56640
230,"Lucinda Nelson",1966,10,"Female","456 Lincoln Boulevard","77","Orchard Park","NY","14127",30202,61578
231,"Fiona Gomez",1966,11,"Female","1959 Forest Street",NULL,"Rockford","IL","61107",24589,50139
232,"Mohamed Parker",1998,12,"Male","74 Hill Avenue","9","Minneapolis","KS","67467",16990,34646
233,"Jaylen Merkel",1998,1,"Male","5274 Martin Luther King Lane",NULL,"Fort Worth","TX","76164",12274,25024
234,"Sydney Fox",1979,1,"Female","136 South Street",NULL,"Chicago","IL","60619",16114,32856
235,"Sally Mitchell",1978,10,"Female","560 Summit Street",NULL,"Hillsboro","IL","62049",17696,36080
236,"Marissa Miller",1987,11,"Female","593 Washington Drive",NULL,"Garland","TX","75042",14535,29637
237,"Clark Braun",1964,2,"Male","281 Martin Luther King Avenue",NULL,"Wewoka","OK","74884",14004,28553
238,"Sullivan Brown",2001,9,"Male","1335 Norfolk Drive","8","East Falmouth","MA","2536",21335,43499
239,"Aubree Howard",1984,6,"Female","47428 First Boulevard",NULL,"Solon","IA","52333",29059,59248
240,"Nixon Abe",1975,6,"Male","6995 North Drive","92","Indianapolis","IN","46236",32865,67008
241,"Ophelia Martin",1988,10,"Female","5857 12th Avenue",NULL,"Sherman Oaks","CA","91403",51976,105963
242,"Amos Cox",1989,4,"Male","4096 Sussex Avenue",NULL,"Montgomery","AL","36117",27653,56383
243,"Xander Abe",1981,8,"Male","2867 Federal Drive",NULL,"Campbell","TX","75422",18934,38609
244,"Jase Wilson",1971,9,"Male","96 11th Street",NULL,"Pensacola","FL","32507",17987,36671
245,"Antonio Evans",1991,10,"Male","654 Elm Drive",NULL,"Atlanta","GA","30331",19550,39860
246,"Abril Labelle",2002,2,"Female","345 George Avenue","922","Waynesboro","VA","22980",18531,37785
247,"Terrence Long",1969,6,"Male","35 Hillside Drive",NULL,"Chicago","IL","60657",0,2466
248,"Addisyn Sanders",1951,8,"Female","318 Spruce Boulevard",NULL,"Lynn","MA","1902",18682,27358
249,"Annalee Wood",1994,1,"Female","118 12th Avenue",NULL,"Powder Springs","GA","30127",25025,51024
250,"Joslyn Torres",1979,5,"Female","1752 Martin Luther King Avenue",NULL,"Oklahoma City","OK","73151",49868,101679
251,"Leighton Sullivan",1999,6,"Male","982 Plum Boulevard","7078","Lynwood","CA","90262",13632,27801
252,"Ansley Miller",1958,11,"Female","49 Bayview Lane",NULL,"Las Vegas","NV","89122",18897,38536
253,"Angie Cox",1976,5,"Female","5194 Grant Street","6","Greenville","SC","29607",24314,49577
254,"Matteo Moore",1995,11,"Male","9713 Fourth Lane",NULL,"Fresno","CA","93710",17985,36672
255,"Maddux Miller",1976,11,"Male","857 Jefferson Avenue",NULL,"New Braunfels","TX","78130",19325,39404
256,"Paola Braun",1958,5,"Female","1861 Fourth Boulevard",NULL,"Badger","IA","50516",18849,18452
257,"Elaina Kelly",1980,9,"Female","7549 Fourth Lane",NULL,"Lombard","IL","60148",27741,56562
258,"Briana Nelson",1929,11,"Female","495 Ocean View Lane",NULL,"Santa Barbara","CA","93103",25249,48580
259,"Harper Kelley",1978,4,"Female","6946 Park Drive","2","Hinsdale","NH","3451",20338,41469
260,"Abril Labelle",1967,6,"Female","4222 Ocean View Drive",NULL,"Fort Knox","KY","40121",15879,32378
261,"Edison Nguyen",1963,1,"Male","46 South Street",NULL,"Reidsville","NC","27320",16888,34437
262,"Emerald Campbell",1936,11,"Female","2780 Martin Luther King Drive",NULL,"Marshall","MN","56258",20697,33897
